entity_head	relation	entity_tail
m.0f02v6h	1	m.0fsfhyb
m.0f02v6h	1	m.0fw9621
m.0f02v6h	1	m.0f_qb_k
m.0f02v6h	1	m.0fy3wyy
m.0f02v6h	2	m.05q_9w
m.0f02v6h	0	m.0kpv11
m.0f02v6h	4	m.01vng3b
m.0f02v6h	1	m.0f02trf
m.0f02v6h	1	m.0f_lfm8
m.0f02v6h	1	m.0fm74wq
m.0f02v6h	3	m.09prnq
m.0f4yqnw	1	m.0fvpbdy
m.0f4yqnw	2	m.01crj8
m.0f4yqnw	4	m.01crj8
m.0f4yqnw	1	m.0fv58xz
m.0f4yqnw	3	m.0g68b8r
m.0f4yqnw	0	m.0kpv11
m.0f4yqnw	3	m.0nhdwjv
m.0f4yqnw	1	m.0fz2zc_
m.0f4yqnw	1	m.0g22kmg
m.0f4yqnw	1	m.0dszgg6
m.0f4yqnw	1	m.0fz3fgn
m.0f4yqnw	1	m.0ft529v
m.0f4yqnw	1	m.0f4yqkb
m.0f4yqnw	3	m.0frz_k8
m.0f4yqnw	1	m.0fdl93m
m.0f4yqnw	1	m.0fvh4k6
m.0f_kw17	2	m.0cjrgx
m.0f_kw17	0	m.09jd9nh
m.0f_kw17	1	m.0f_kw0k
m.0f_kw17	1	m.031_t0l
m.0fd_zvz	0	m.0kpv11
m.0fd_zvz	1	m.04cjvqj
m.0fd_zvz	1	m.0fzxv36
m.0fd_zvz	2	m.01wqphl
m.0frch1l	4	m.01ww46b
m.0frch1l	2	m.01vng0h
m.0frch1l	0	m.0kpv11
m.0frch1l	1	m.0fvt64y
m.0frch1l	4	m.01ww448
m.0frch1l	4	m.01ww456
m.0fs6cvl	0	m.0kpv11
m.0fs6cvl	1	m.0g3r628
m.0fs6cvl	2	m.053xjm
m.0fs6cvl	1	m.0f_1fwr
m.0fwkrqg	1	m.0fzh_6h
m.0fwkrqg	0	m.0kpv11
m.0fwkrqg	2	m.03rkvb
m.0fx9qnm	0	m.0kpv11
m.0fx9qnm	1	m.0g3crtf
m.0fx9qnm	1	m.0g7cv_4
m.0fx9qnm	2	m.01mpq7s
m.0fx9qnm	1	m.0g7s7nx
m.0fx9qnm	1	m.0g804ql
m.0fx9qnm	1	m.0fxqbtb
m.0fx9qnm	1	m.0g7s7dd
m.0fzyjlx	1	m.0fzyjlt
m.0fzyjlx	2	m.0fqy3b5
m.0fzyjlx	0	m.0kpv11
m.0g7bp57	2	m.0dymm5v
m.0g7bp57	0	m.0kpv11
m.0g7bp57	1	m.0g7y9sn
m.0g7bp57	4	m.0dymm5v
m.0g8t_qj	2	m.02cpp
m.0g8t_qj	1	m.0g965w1
m.0g8t_qj	1	m.0g95b1r
m.0g8t_qj	1	m.0g8t_q7
m.0g8t_qj	1	m.0g91j8x
m.0g8t_qj	1	m.0g8_c1j
m.0g8t_qj	1	m.0g92c9_
m.0gdx7pc	1	m.0gf5vhm
m.0gdx7pc	2	m.05f9qdc
m.0gdx7pc	1	m.0gdx7ng
m.0gdx7pc	1	m.0gf427_
m.0gdx7pc	4	m.01vtxkw
m.0gdx7pc	0	m.0kpv11
m.0gdx7pc	1	m.0gf11k3
m.0jxl55y	2	m.07r1_
m.0jxl55y	1	m.0j4ns9s
m.0jxl55y	0	m.0kpv11
m.0k202d_	1	m.0k201jy
m.0k202d_	0	m.0kpv11
m.0k202d_	2	m.01v40wd
m.0l1qq9	1	m.030rrh0
m.0l1qq9	1	m.0g1bt8l
m.0l1qq9	4	m.04ftmc
m.0l1qq9	1	m.03zppvz
m.0l1qq9	1	m.0g803l8
m.0l1qq9	1	m.033rskw
m.0l1qq9	3	m.01whtn0
m.0l1qq9	1	m.0f6r8nv
m.0l1qq9	1	m.031lr94
m.0l1qq9	1	m.0g16bth
m.0l1qq9	1	m.0325gdd
m.0l1qq9	1	m.0390y96
m.0l1qq9	1	m.0330ldn
m.0l1qq9	1	m.03bk1jw
m.0l1qq9	0	m.0kpv11
m.0l1qq9	1	m.03_73nx
m.0l1qq9	1	m.0fv_jwj
m.0l1qq9	1	m.0d_rd5f
m.0l1qq9	1	m.0dtbvtg
m.0l1qq9	1	m.0g3qprf
m.0l1qq9	1	m.03147qz
m.0l1qq9	1	m.03_658t
m.0l1qq9	1	m.0f6rf56
m.0l1qq9	1	m.031y5y8
m.0l1qq9	1	m.0318m4n
m.0l1qq9	2	m.017_hq
m.0l1qq9	1	m.01jd07_
m.0l1qq9	1	m.0fm6hts
m.0l1qq9	1	m.0307czt
m.0l1qq9	1	m.0g73xm_
m.0l1qq9	1	m.033k_p7
m.0lbh1m	0	m.0kpv11
m.0lbh1m	1	m.0f0w3m1
m.0lbh1m	1	m.0f21n9_
m.0lbh1m	1	m.037qtkr
m.0lbh1m	1	m.0dzmgjr
m.0lbh1m	2	m.026vp
m.0lbh1m	1	m.0fgv5rw
m.0lbh1m	1	m.0g2xs15
m.0lg1sd	1	m.0f0h_1y
m.0lg1sd	2	m.015df6
m.0lg1sd	1	m.0g5ypyl
m.0lg1sd	1	m.0d_bp1t
m.0lg1sd	0	m.0kpv11
m.0lg1sd	1	m.030md2w
m.0lh9bx	0	m.0kpv11
m.0lh9bx	1	m.032g5lt
m.0lh9bx	2	m.02k9cf
m.0lhkkv	2	m.0krh8
m.0lhkkv	1	m.039kr_g
m.0lhkkv	1	m.0f5ng80
m.0lhkkv	0	m.0kpv11
m.0lhkkv	1	m.0dqgfdj
m.0lhkkv	1	m.02px5h
m.0lhkkv	1	m.037tdb4
m.0lhkkv	4	m.023p29
m.0lhkkv	1	m.0frlmt0
m.0lvqgf	1	m.0f8w3fx
m.0lvqgf	1	m.0331x48
m.0lvqgf	1	m.0fx57s2
m.0lvqgf	1	m.0fvps6g
m.0lvqgf	3	m.01wzcyt
m.0lvqgf	1	m.03_r62f
m.0lvqgf	0	m.09jd9nh
m.0lvqgf	4	m.04gllm
m.0lvqgf	1	m.03zvvg9
m.0lvqgf	1	m.0g1yvhw
m.0lvqgf	2	m.0lccn
m.0lvqgf	1	m.0384nwk
m.0lvqgf	1	m.031xdvq
m.0lvqgf	1	m.032wm6r
m.0lvqgf	1	m.0fkp25v
m.0lvqgf	1	m.0f8hzxw
m.0lxvy6	1	m.03fhh9l
m.0lxvy6	3	m.03f5r2f
m.0lxvy6	2	m.0p76z
m.0lxvy6	1	m.0f6qlcm
m.0lxvy6	1	m.038nldz
m.0lxvy6	1	m.0g6y_bg
m.0lxvy6	4	m.01glhw
m.0lxvy6	1	m.0dsyd88
m.0lxvy6	4	m.0979y1
m.0lxvy6	1	m.0fxtf4w
m.0lxvy6	1	m.01j9j7r
m.0lxvy6	1	m.01j9j6d
m.0lxvy6	0	m.0kpv11
m.0lxvy6	1	m.036kwyy
m.0lxvy6	1	m.0fht5hn
m.0lxvy6	1	m.0f3jjtq
m.0lxvy6	1	m.0f59mlc
m.0lxvy6	1	m.0dzl88g
m.0lxvy6	1	m.0324m8q
m.0lxvy6	1	m.0fjf4sj
m.0lxvy6	1	m.0ffwnmq
m.0lxvy6	1	m.035vvz1
m.0lxvy6	1	m.0dx8kq3
m.0lzr9k	0	m.0kpv11
m.0lzr9k	2	m.01ldr5
m.0lzr9k	1	m.0fr9m74
m.0lzr9k	1	m.0dq1g56
m.0lzr9k	1	m.0fy32m1
m.0lzr9k	3	m.01wy8n5
m.0lzr9k	1	m.037f_7n
m.0lzr9k	4	m.012lj1
m.0lzr9k	3	m.01wxpdm
m.0m24p2	1	m.0dsh6z1
m.0m24p2	1	m.01hx9bh
m.0m24p2	1	m.0ffkfnk
m.0m24p2	4	m.01jckl
m.0m24p2	1	m.0f193tf
m.0m24p2	1	m.0f6cvgw
m.0m24p2	1	m.0g2t007
m.0m24p2	1	m.014_v9
m.0m24p2	1	m.0dxns7r
m.0m24p2	1	m.01hx9c_
m.0m24p2	1	m.0dz6j_l
m.0m24p2	0	m.0kpv11
m.0m24p2	1	m.0fkcrg1
m.0m24p2	2	m.0ntq7
m.0m24p2	4	m.0ntq7
m.0m24p2	1	m.01hx97z
m.0m46c7	0	m.0kpv11
m.0m46c7	1	m.0g25ydb
m.0m46c7	1	m.0f4z9hs
m.0m46c7	1	m.0349gh0
m.0m46c7	1	m.0f615wl
m.0m46c7	2	m.0c9l1
m.0m46c7	4	m.027q0k9
m.0m46c7	4	m.0c9l1
m.0m46c7	4	m.07gb6p
m.0mfxh3	0	m.0kpv11
m.0mfxh3	2	m.01hykl_
m.0mfxh3	1	m.035vrmk
m.0mfxh3	1	m.0ffw4l0
m.0n2g7m	1	m.030mk02
m.0n2g7m	1	m.01hjqy4
m.0n2g7m	1	m.0fhgv10
m.0n2g7m	1	m.0f9js7_
m.0n2g7m	1	m.0fhsx1r
m.0n2g7m	1	m.0dq1tlq
m.0n2g7m	2	m.016qsn
m.0n2g7m	0	m.0kpv11
m.0ng0jf	1	m.03fg9pb
m.0ng0jf	1	m.02_zw50
m.0ng0jf	1	m.0331s1m
m.0ng0jf	1	m.033mzzh
m.0ng0jf	1	m.0g2kqvn
m.0ng0jf	0	m.0kpv11
m.0ng0jf	4	m.012t0j0y
m.0ng0jf	1	m.037v6ms
m.0ng0jf	1	m.03258d2
m.0ng0jf	2	m.01kzjbg
m.0ng0jf	1	m.0g1ysr0
m.0ng0jf	1	m.0f4zy73
m.0ng0jf	1	m.033bpcd
m.0ng0jf	1	m.0fhh9dj
m.0ng0jf	1	m.035tb9k
m.0nl6g1j	0	m.0kpv11
m.0nl6g1j	2	m.0p4_x
m.0nldt4f	2	m.0bby4gj
m.0nldt4f	0	m.09jd9nh
m.0nms67b	2	m.0gg6w_q
m.0nms67b	4	m.0q6qp60
m.0nms67b	0	m.0kpv11
m.0nr_7x	0	m.0kpv11
m.0nr_7x	1	m.0dy0s8g
m.0nr_7x	1	m.0fzyktg
m.0nr_7x	1	m.0f5pcyb
m.0nr_7x	1	m.0f5ntmk
m.0nr_7x	1	m.03b46xr
m.0nr_7x	1	m.0fcy3s1
m.0nr_7x	2	m.039cjb
m.0p61l0	1	m.037ym19
m.0p61l0	0	m.0kpv11
m.0p61l0	1	m.03fh9w3
m.0p61l0	1	m.038cfs_
m.0p61l0	1	m.03bhj35
m.0p61l0	1	m.03_4l33
m.0p61l0	1	m.03fh9vy
m.0p61l0	1	m.034w4wm
m.0p61l0	1	m.039klhy
m.0p61l0	1	m.034q7m0
m.0p61l0	1	m.0333vc1
m.0p61l0	1	m.01hzvzx
m.0p61l0	1	m.032m9m5
m.0p61l0	1	m.03_6wph
m.0p61l0	2	m.0cfgd
m.0p61l0	1	m.0329qqt
m.0p61l0	1	m.03z_dkp
m.0pb9vc	1	m.0dsykvr
m.0pb9vc	2	m.01ncpnw
m.0pb9vc	1	m.0336tjn
m.0pb9vc	0	m.0kpv11
m.0q5k0z5	2	m.01lhmt1
m.0q5k0z5	0	m.0kpv11
m.0rhlhv2	4	m.04l13q
m.0rhlhv2	2	m.04l13q
m.0rhlhv2	0	m.0kpv11
m.0rq2qn	1	m.0dtrxlk
m.0rq2qn	2	m.01wsfk
m.0rq2qn	1	m.01ltydc
m.0rq2qn	1	m.034w4g_
m.0rq2qn	1	m.0g2p_hj
m.0rq2qn	1	m.0dtqz25
m.0rq2qn	4	m.01wsfk
m.0rq2qn	0	m.0kpv11
m.0s947c5	4	m.01w58mw
m.0s947c5	0	m.0kpv11
m.0s947c5	2	m.01w58mw
m.0s_7kq	1	m.01h88rz
m.0s_7kq	1	m.0f_lkzf
m.0s_7kq	2	m.0kvnn
m.0s_7kq	1	m.0fkbwww
m.0s_7kq	0	m.0kpv11
m.0s_7kq	1	m.031rypd
m.0shl5lw	2	m.0ftgly
m.0shl5lw	0	m.0kpv11
m.0v2_rvh	0	m.0kpv11
m.0v2_rvh	2	m.0kfwq87
m.0vcfcg	0	m.0kpv11
m.0vcfcg	1	m.0f95w75
m.0vcfcg	1	m.036n9k3
m.0vcfcg	1	m.036_lcb
m.0vcfcg	1	m.03901bm
m.0vcfcg	1	m.0326c33
m.0vcfcg	1	m.0dnbhc4
m.0vcfcg	1	m.0f7fhs7
m.0vcfcg	2	m.01pxx
m.0vcfcg	1	m.032msx4
m.0w009hj	2	m.0glp2r_
m.0w009hj	0	m.09jd9nh
m.0w7nly	2	m.01qdty_
m.0w7nly	1	m.0f1pw_4
m.0w7nly	0	m.0kpv11
m.0w7nly	1	m.034d17l
m.0wj9qyw	2	m.0c9l1
m.0wj9qyw	0	m.09jd9nh
m.0wj9qyw	3	m.0ds0x9k
m.0wj9qyw	3	m.049gtx4
m.0wj9qyw	4	m.0clq1y
m.0wq_pq	4	m.01lq7rk
m.0wq_pq	1	m.038dpzq
m.0wq_pq	1	m.03zgyfh
m.0wq_pq	0	m.0kpv11
m.0wq_pq	1	m.0fc6h8n
m.0wq_pq	1	m.0dr7s8s
m.0wq_pq	1	m.032_tp9
m.0wq_pq	4	m.05t1v0
m.0wq_pq	2	m.016j7m
m.0wq_pq	4	m.07g8lv
m.0wq_pq	1	m.0fht0yn
m.0x97qlt	2	m.0gb_p_
m.0x97qlt	0	m.0kpv11
m.0xv9j9	1	m.01lhm7h
m.0xv9j9	1	m.035232d
m.0xv9j9	0	m.0kpv11
m.0xv9j9	1	m.0dv3v33
m.0xv9j9	2	m.02z9tb
m.0xv9j9	1	m.01lhm6d
m.0ybbs2v	0	m.09jd9nh
m.0ybbs2v	2	m.045wvq
m.010ch3t	1	m.0fz6xct
m.010ch3t	1	m.0320_03
m.010ch3t	1	m.0fxpnk8
m.010ch3t	1	m.0347dcr
m.010ch3t	2	m.0bfcgc
m.010ch3t	0	m.0kpv11
m.010ch3t	4	m.089l5f
m.010ch3t	1	m.0fll_xn
m.010htg6	1	m.038yhsj
m.010htg6	0	m.0kpv11
m.010htg6	2	m.03d9d6
m.011xpnp	2	m.05jy74
m.011xpnp	0	m.09jd9nh
m.011xpnp	1	m.03bcsbl
m.012gpq8	2	m.0jn38
m.012gpq8	0	m.0kpv11
m.012gpq8	1	m.0dvz9k5
m.012gpq8	1	m.0d_qs5d
m.012gpq8	1	m.0302qy7
m.0143xss	1	m.0fcxgr4
m.0143xss	2	m.0cfhb
m.0143xss	1	m.03fjlfv
m.0143xss	1	m.033n4gp
m.0143xss	1	m.0f8vwyh
m.0143xss	1	m.0dqwry9
m.0143xss	1	m.0f7t28m
m.0143xss	1	m.0dmykls
m.0143xss	1	m.0ft5m_t
m.0143xss	1	m.0dmj656
m.0143xss	1	m.0dmhb8t
m.0143xss	1	m.0f2dc1f
m.0143xss	1	m.0f8h9_p
m.0143xss	1	m.03ffy09
m.0143xss	1	m.0f47snx
m.0143xss	1	m.0f5b3x8
m.0143xss	1	m.0dtsddb
m.0143xss	1	m.0f8h_t2
m.0143xss	0	m.0kpv11
m.0143xss	1	m.0drn43y
m.0164bjp	1	m.03b6rjq
m.0164bjp	1	m.01mtb52
m.0164bjp	1	m.0fbk5vr
m.0164bjp	2	m.044cyx
m.0164bjp	0	m.0kpv11
m.016v56w	1	m.0f7tm2f
m.016v56w	2	m.0370w8
m.016v56w	1	m.0f33vyv
m.016v56w	1	m.0f4zfdq
m.016v56w	1	m.038dxb5
m.016v56w	0	m.0kpv11
m.016v56w	1	m.0flygwg
m.0189yv5	2	m.0h5dhy
m.0189yv5	0	m.0kpv11
m.0189yv5	1	m.036w6h7
m.019bwpn	0	m.0kpv11
m.019bwpn	1	m.035wzxw
m.019bwpn	4	m.01vrpmx
m.019bwpn	2	m.0120rz
m.01bx_6b	1	m.0fdl8fm
m.01bx_6b	1	m.0dy1mc9
m.01bx_6b	2	m.01l0y2z
m.01bx_6b	1	m.038vf6j
m.01bx_6b	1	m.03fjn3z
m.01bx_6b	0	m.0kpv11
m.01bx_6b	1	m.0dwwbvx
m.01d5d42	1	m.0fly3bv
m.01d5d42	1	m.0324hp7
m.01d5d42	1	m.03j758b
m.01d5d42	0	m.0kpv11
m.01d5d42	2	m.0jrcj
m.01d5d42	1	m.01jtsm4
m.01dvq49	1	m.0fnf3x7
m.01dvq49	1	m.036kyqc
m.01dvq49	1	m.01lb88g
m.01dvq49	0	m.0kpv11
m.01dvq49	1	m.0f5_vfr
m.01dvq49	2	m.03ks26
m.01dvq49	1	m.03fjvpx
m.01dvq49	1	m.0dvy_zn
m.01dvq49	5	m.03ks26
m.01dvq49	2	m.05jy74
m.01dvq49	1	m.0dvj4mz
m.01dydwt	1	m.036yyc0
m.01dydwt	0	m.0kpv11
m.01dydwt	1	m.0308lx0
m.01dydwt	2	m.01q2zmr
m.01f6vfk	2	m.04grph
m.01f6vfk	1	m.036131v
m.0_zpww	2	m.047npr6
m.0_zpww	0	m.0kpv11
m.0_zpww	1	m.031391g
m.0dmj4jf	2	m.03dbqm0
m.0dmj4jf	1	m.03fqr1p
m.0dmj4jf	1	m.0f0j3x1
m.0dmj4jf	1	m.0dmj4h3
m.0dmj4jf	1	m.0dmysj2
m.0dmj4jf	1	m.0frstby
m.0dpmwqr	0	m.0kpv11
m.0dpmwqr	1	m.0dpmwnn
m.0dpmwqr	3	m.0d1h_m
m.0dpmwqr	2	m.0560w
m.0dpmwqr	1	m.0fn41mt
m.0dpmwqr	1	m.0g1qr9l
m.0dpmwqr	1	m.0fgh_52
m.0dpmwqr	1	m.0f3vz19
m.0dpmwqr	1	m.0fkq0zk
m.0dpzt84	1	m.0dqf02v
m.0dpzt84	1	m.0400mjr
m.0dpzt84	2	m.0kvnn
m.0dpzt84	0	m.0kpv11
m.0dpzt84	1	m.0fmjw15
m.0dq135n	2	m.0404h27
m.0dq135n	1	m.0dq1343
m.0dq135n	1	m.0fmj_6d
m.0dq135n	0	m.09jd9nh
m.0dr0xcz	0	m.0kpv11
m.0dr0xcz	4	m.0gb_p_
m.0dr0xcz	3	m.03j02pr
m.0dr0xcz	1	m.049mh3k
m.0dr0xcz	1	m.0g2sxl3
m.0dr0xcz	1	m.0fn47sv
m.0dr0xcz	2	m.0gb_p_
m.0dr8h9f	1	m.0dr8h0b
m.0dr8h9f	2	m.02rbph7
m.0dr8h9f	0	m.0kpv11
m.0dsn5lq	1	m.0sjl1km
m.0dsn5lq	1	m.03j9dl2
m.0dsn5lq	2	m.03nn9n
m.0dsn5lq	0	m.0kpv11
m.0dwcrm_	1	m.0dwcrls
m.0dwcrm_	4	m.01ws_vv
m.0dwcrm_	1	m.0fkpm0s
m.0dwcrm_	1	m.0g2ffz9
m.0dwcrm_	1	m.0dqgzh7
m.0dwcrm_	1	m.0fg6nkx
m.0dwcrm_	1	m.03fpc_q
m.0dwcrm_	1	m.0g34ctq
m.0dwcrm_	1	m.0fj2qvs
m.0dwcrm_	2	m.05q_9w
m.0dwcrm_	4	m.01x2810
m.0dwcrm_	1	m.03j9x2j
m.0dwcrm_	1	m.03fpc_w
m.0dwcrm_	1	m.0fj3cxf
m.0dwcrm_	0	m.0kpv11
m.0dwcrm_	1	m.0f4ym49
m.0dwcrm_	1	m.0dy0s75
m.0dwcrm_	1	m.0f83vsx
m.0dwfmq8	1	m.0dwfmph
m.0dwfmq8	1	m.0d_cmj6
m.0dwfmq8	2	m.0h53h6
m.0dwfmq8	1	m.0f5nq48
m.0dwfmq8	1	m.0f47td6
m.0dwfmq8	0	m.0kpv11
m.0dx_cjw	0	m.0kpv11
m.0dx_cjw	1	m.0fw7jj_
m.0dx_cjw	1	m.049lyrw
m.0dx_cjw	2	m.01pk0ch
m.0fqf7yl	0	m.0kpv11
m.0fqf7yl	2	m.0fqf7yp
m.0fqf7yl	1	m.0fqzzfq
m.0fqghpy	1	m.0fxj6gg
